"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 30 11:08:42 GMT 2022","Thu Jun 30 11:08:44 GMT 2022","1880","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputMessageIsEmpty","repetition 1 of 1",""
"passed","Thu Jun 30 11:07:24 GMT 2022","Thu Jun 30 11:07:28 GMT 2022","3950","","requirements.LogoutTests","","requirements.LogoutTests","testDoubleLogoutOnDifferentTabsWithLogoutButton","repetition 1 of 1",""
"failed","Thu Jun 30 11:07:45 GMT 2022","Thu Jun 30 11:07:47 GMT 2022","1391","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutDot","repetition 1 of 1",""
"passed","Thu Jun 30 11:07:06 GMT 2022","Thu Jun 30 11:07:09 GMT 2022","2895","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","testDataInputOnRegistrationRepeatedlyAndContinuouslyFromDatasource","repetition 1 of 1",""
"passed","Thu Jun 30 11:07:36 GMT 2022","Thu Jun 30 11:07:38 GMT 2022","1567","","requirements.DataListingTests","","requirements.DataListingTests","testDataListingOnFirstBlogPage","repetition 1 of 1",""
"passed","Thu Jun 30 11:07:28 GMT 2022","Thu Jun 30 11:07:29 GMT 2022","1496","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsClose","repetition 1 of 1",""
"passed","Thu Jun 30 11:08:06 GMT 2022","Thu Jun 30 11:08:07 GMT 2022","1027","","requirements.LoginTests","","requirements.LoginTests","testLoginPasswordIsEmpty","repetition 1 of 1",""
"passed","Thu Jun 30 11:08:44 GMT 2022","Thu Jun 30 11:08:48 GMT 2022","4047","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailNothingBeforeAt","repetition 1 of 1",""
"passed","Thu Jun 30 11:07:29 GMT 2022","Thu Jun 30 11:07:33 GMT 2022","3544","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsAccept","repetition 1 of 1",""
"passed","Thu Jun 30 11:07:33 GMT 2022","Thu Jun 30 11:07:35 GMT 2022","1872","","requirements.DataModifyingTests","","requirements.DataModifyingTests","testDataModifyingProfile","repetition 1 of 1",""
"passed","Thu Jun 30 11:08:28 GMT 2022","Thu Jun 30 11:08:32 GMT 2022","4201","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailWithoutAt","repetition 1 of 1",""
"passed","Thu Jun 30 11:08:00 GMT 2022","Thu Jun 30 11:08:06 GMT 2022","6672","","requirements.PaginationTests","","requirements.PaginationTests","testPaginationOnBlogPage","repetition 1 of 1",""
"passed","Thu Jun 30 11:07:48 GMT 2022","Thu Jun 30 11:08:00 GMT 2022","11719","","requirements.DataSavingTests","","requirements.DataSavingTests","testDataSavingArticleTitlesIntoFile","repetition 1 of 1",""
